Node_name_1;Node_name_2;Node_name_3;Node_name_4;Article_ID_List;Node_number_1;Node_number_2;Node_number_3;Node_number_4
['polici'];['ghg'];['mitig'];['product'];[1, 6, 19, 38, 68, 72, 100, 109, 121, 123, 126, 131, 144, 192, 202, 203, 223, 226, 245, 250, 300, 303, 318, 353, 356, 384, 502, 517, 589, 657, 700, 729, 772, 798, 846, 849, 897, 909, 946, 977, 992, 1005, 1007, 1082, 1095, 1109, 1112, 1159, 1175, 1205, 1250, 1252, 1290, 1335, 1338, 1388, 1394, 1416, 1430, 1436, 1498, 1534, 1674, 1700, 1791, 1793, 1817, 1841, 1842, 1854, 1868, 1895, 1916, 1924, 1935, 1953, 1997, 2003, 2046, 2096, 2097, 2115, 2162, 2170, 2218, 2233, 2239, 2287, 2314, 2318, 2375, 2377, 2382, 2404, 2411, 2459, 2481, 2496, 2521, 2587, 2610, 2615, 2620, 2632, 2675, 2687, 2696, 2756, 2767, 2852];4;16;54;124
['polici'];['ghg'];['mitig'];['residenti'];[23, 43, 133, 138, 216, 278, 431, 484, 492, 511, 559, 777, 790, 852, 949, 960, 1163, 1200, 1288, 1685, 1691, 1706, 1761, 1809, 1825, 1956, 1978, 2132, 2339, 2423, 2539, 2545, 2662, 2755, 2834, 2845];4;16;54;125
['polici'];['ghg'];['wast'];['wast'];[95, 96, 102, 165, 183, 186, 339, 1061, 1161, 1247, 1248, 1495, 1558, 1650, 1771, 1918, 1964, 2048, 2052, 2059, 2172, 2199, 2277, 2321, 2358, 2575, 2585];4;16;55;126
['polici'];['ghg'];['wast'];['methan'];[8, 1692, 1920, 2855];4;16;55;127
['polici'];['heat'];['biomass'];['product'];[45, 128, 225];4;17;56;128
['polici'];['heat'];['biomass'];['biomass'];[77, 78, 130, 156, 207, 264, 590, 822, 1217, 1241, 1347, 1398, 1470, 1955, 2148, 2294, 2295, 2304, 2491, 2581, 2635, 2692];4;17;56;129
['polici'];['heat'];['biomass'];['residu'];[695, 1236, 1970, 2229, 2669];4;17;56;130
['polici'];['heat'];['bioenergi'];['system'];[1438, 1853, 2489, 2492];4;17;57;131
['polici'];['heat'];['bioenergi'];['technolog'];[85, 1134, 1342, 2193, 2298];4;17;57;132
['polici'];['heat'];['bioenergi'];['bau'];[1530, 1806, 1807];4;17;57;133
['polici'];['heat'];['bioenergi'];['bioenergi'];[87, 230, 976, 1273, 1361, 1520, 1603, 1858, 2166, 2444];4;17;57;134
['polici'];['heat'];['heat'];['pellet'];[74, 79, 1391, 1444, 1486, 1521, 1562, 1605, 1628, 1726, 2881];4;17;58;135
['polici'];['heat'];['heat'];['heat'];[84, 261, 539, 799, 1079, 1152, 1154, 1157, 1332, 1418, 1465, 1466, 1480, 1483, 1527, 1528, 1544, 1591, 2034, 2157, 2292, 2415, 2475, 2499, 2500, 2626];4;17;58;136
['polici'];['heat'];['biofuel'];['biofuel'];[184, 689, 821, 1227, 1309, 1371, 1372, 1374, 1419, 1748, 1784, 2328, 2775];4;17;59;137
['polici'];['heat'];['biofuel'];['fuel'];[82, 180, 274, 1266, 1364, 1574, 1669, 2195, 2211, 2629, 2654];4;17;59;138
['polici'];['build'];['build'];['build'];[71, 719, 1027, 1094, 1131, 1156, 1244, 1475, 1524, 1596, 1597, 1607, 1727, 1774, 1790, 1901, 1902, 2005, 2009, 2016, 2133, 2151, 2266, 2324, 2325, 2442, 2555, 2648, 2676];4;18;60;139
['polici'];['build'];['build'];['hous'];[1443, 1449, 1566, 1575, 2120, 2299, 2476];4;18;60;140
['polici'];['build'];['build'];['green'];[36, 1515, 1661, 2113, 2118, 2470, 2472, 2473];4;18;61;141
['polici'];['build'];['build'];['build'];[2, 73, 163, 174, 215, 246, 262, 266, 270, 308, 364, 377, 450, 553, 580, 628, 701, 742, 797, 882, 923, 924, 928, 948, 1006, 1069, 1202, 1240, 1453, 1512, 1513, 1526, 1532, 1538, 1602, 1608, 1659, 1671, 1720, 1744, 1870, 1908, 2029, 2069, 2149, 2235, 2297, 2315, 2430, 2439, 2474, 2484, 2639, 2711, 2735, 2776, 2785];4;18;61;142
['carbon'];['industri'];['steel'];['steel'];[385, 666, 668, 672, 723, 827, 869, 1893, 1960, 2022, 2184, 2571, 2599, 2844];5;19;62;143
['carbon'];['industri'];['steel'];['technolog'];[141, 343, 388, 468, 534, 747, 837, 875, 922, 1087, 1090, 1115, 1946, 2686, 2752];5;19;62;144
['carbon'];['industri'];['industri'];['industri'];[106, 145, 299, 306, 329, 348, 351, 378, 404, 417, 424, 462, 473, 508, 606, 617, 664, 670, 697, 702, 706, 716, 718, 721, 725, 754, 780, 833, 850, 903, 1071, 1343, 1582, 1828, 2125, 2145, 2305, 2552, 2558];5;19;63;145
